YEAR,MONTH,DAY,MAGNITUDE,COUNTRY,LOCATION_NAME,LATITUDE,LONGITUDE,CATEGORY
1968,6,19,7,PERU,"PERU:  SAN MARTIN,MOYOBAMBA,YANTALO,RIOJA,LAMAS",-5.6,-77.2,Earthquake
1969,3,31,7,EGYPT,"EGYPT:  BENI-SOUEF, AL-QAHIRAH (CAIRO)",27.7,34,Earthquake
1970,7,25,7,JAPAN,"SEIKAIDO, JAPAN",32.2,131.7,Earthquake
1971,9,25,7,PAPUA NEW GUINEA,PAPUA NEW GUINEA:  BISMARCK SEA,-6.5,146.6,Earthquake
1972,11,2,7,NEW CALEDONIA,"NEW CALEDONIA:  LOYALTY ISLANDS:  TANNA, ANATOM",-20,168.8,Earthquake
1974,1,31,7,SOLOMON ISLANDS,SOLOMON ISLANDS,-7.5,155.9,Earthquake
1975,6,10,7,RUSSIA,RUSSIA:  KURIL-JAPAN:  HOKKAIDO,43.024,147.734,Earthquake
1976,1,21,7,RUSSIA,RUSSIA:  KURIL ISLANDS,44.915,149.123,Earthquake
1976,4,8,7,UZBEKISTAN,UZBEKISTAN:  GAZLI,40.31,63.77,Earthquake
1976,5,17,7,UZBEKISTAN,"UZBEKISTAN:  GAZLI, BUKHARA",40.38,63.47,Earthquake
1978,8,3,7,CHILE,CHILE:  NORTHERN:  COPIAPO-TALTAI,-26.51,-70.54,Earthquake
1978,12,23,7,TAIWAN,TAIWAN:  PINTUNG,23.247,122.075,Earthquake
1980,2,23,7,RUSSIA,RUSSIA:  S. KURIL ISLANDS,43.53,146.753,Earthquake
1982,6,7,7,MEXICO,"MEXICO:  GUERERRO, ORZIBA, OAXACA, GUADALUPE",16.558,-98.358,Earthquake
1983,8,6,7,GREECE,GREECE:  AEGEAN SEA,40.142,24.766,Earthquake
1984,3,19,7,UZBEKISTAN,UZBEKISTAN:  GAZLI,40.32,63.35,Earthquake
1984,3,24,7,RUSSIA,RUSSIA:  KURIL ISLANDS,44.117,148.192,Earthquake
1984,12,28,7,RUSSIA,RUSSIA:  KAMCHATKA,56.2,163.4,Earthquake
1990,3,25,7,COSTA RICA,"COSTA RICA:  PUNTARENAS, SAN JOSE",9.919,-84.808,Earthquake
1990,5,24,7,SUDAN,"SUDAN:  JUBA, KAPENGURIA",5.358,31.848,Earthquake
1991,4,29,7,GEORGIA,"GEORGIA:  DZHAVA, CHIATURA, AMBROLAURI",42.453,43.673,Earthquake
1991,10,19,7,INDIA,"INDIA:  CHAMOLI, UTTARKASHI, NEW DELHI, CHANDIGARH",30.78,78.774,Earthquake
1992,5,25,7,CUBA,"CUBA:  PILON, MANZANILLO",19.613,-77.872,Earthquake
1992,5,27,7,SOLOMON ISLANDS,SOLOMON ISLANDS:  SANTA CRUZ ISLANDS,-11.122,165.239,Earthquake
1992,7,18,7,JAPAN,JAPAN:  HONSHU ISLAND,39.419,143.33,Earthquake
1992,9,11,7,CONGO,CONGO:  KABALO,-6.087,26.651,Earthquake
1992,10,17,7,COLOMBIA,"COLOMBIA:  MURINDO, CALI",6.845,-76.806,Earthquake
1993,11,13,7,RUSSIA,RUSSIA:  KAMCHATKA,51.934,158.647,Earthquake
1994,1,21,7,INDONESIA,INDONESIA:  KAU,1.015,127.733,Earthquake
1994,9,1,7,USA,CALIFORNIA:  NORTH:  HONEYDEW,40.402,-125.68,Earthquake
1995,10,3,7,ECUADOR,ECUADOR:  QUITO,-2.75,-77.881,Earthquake
1997,7,9,7,VENEZUELA,VENEZUELA:  CARIACO-CUMANA,10.598,-63.486,Earthquake
1997,11,25,7,INDONESIA,"INDONESIA:  SULAWESI:  MINAHASSA PENINSULA,GORONTALO",1.241,122.536,Earthquake
1998,7,17,7,PAPUA NEW GUINEA,PAPUA NEW GUINEA:  SISSANO,-2.943,142.582,Earthquake
1999,6,15,7,MEXICO,"MEXICO:  PUEBLA, VERACRUZ, OAXACA, MORELOS, GUERRERO",18.386,-97.436,Earthquake
2000,12,6,7,TURKMENISTAN,TURKMENISTAN:  NEBITDAG-TURKMENBASHI,39.566,54.799,Earthquake
2001,10,12,7,USA TERRITORY,GUAM,12.686,144.98,Earthquake
2003,5,26,7,JAPAN,"JAPAN:  HONSHU:  IWATE, MIYAGI, YAMAGATA, AKITA",38.849,141.568,Earthquake
2003,5,26,7,INDONESIA,"INDONESIA:  MOROTAI, BEREBERE, DARUBA",2.354,128.855,Earthquake
2003,10,31,7,JAPAN,JAPAN:  EAST COAST HONSHU,37.812,142.619,Earthquake
2004,2,5,7,INDONESIA,INDONESIA:  NABIRE,-3.615,135.538,Earthquake
2004,11,28,7,JAPAN,"JAPAN:  HOKKAIDO:  BEKKAI, KUSHIRO, NEMOURO",43.006,145.119,Earthquake
2005,11,14,7,JAPAN,JAPAN:  EAST COAST HONSHU,38.107,144.896,Earthquake
2006,2,22,7,MOZAMBIQUE,MOZAMBIQUE,-21.324,33.583,Earthquake
2006,12,26,7,TAIWAN,TAIWAN:  PINGTUNG,21.799,120.547,Earthquake
2009,9,2,7,INDONESIA,INDONESIA:  JAVA,-7.782,107.297,Earthquake
2010,1,12,7,HAITI,HAITI:  PORT-AU-PRINCE,18.457,-72.533,Earthquake
2010,2,26,7,JAPAN,"JAPAN:  TORI SHIMA, OKINAWA",25.93,128.425,Earthquake
