YEAR,MONTH,DAY,MAGNITUDE,COUNTRY,LOCATION_NAME,LATITUDE,LONGITUDE,CATEGORY
1999,11,12,7.2,TURKEY,"TURKEY:  BOLU-DUZCE-KAYNASLI, ADAPAZARI, ZONGULDAK",40.758,31.161,Earthquake
2002,1,2,7.2,VANUATU,"VANUATU ISLANDS:  EFATE, PORT VILA",-17.6,167.856,Earthquake
2003,8,21,7.2,NEW ZEALAND,"NEW ZEALAND:  DUNEDIN,INVERCARGILL,TE ANAU,FIORDLAND",-45.104,167.144,Earthquake
2004,9,5,7.2,JAPAN,JAPAN:  HONSHU:  W COAST: KYOTO,33.07,136.618,Earthquake
2004,11,15,7.2,COLOMBIA,"COLOMBIA:  BAJO BAUDO, BUENAVENTURA, CERRITO",4.695,-77.508,Earthquake
2005,6,15,7.2,USA,CALIFORNIA:  OFF COAST NORTHERN,41.301,-125.97,Earthquake
2005,7,24,7.2,INDIA,"INDIA:  ANDAMAN ISLANDS,  NICOBAR ISLANDS",7.92,92.19,Earthquake
2005,8,16,7.2,JAPAN,JAPAN:  EAST COAST HONSHU,38.276,142.039,Earthquake
2007,8,1,7.2,VANUATU,VANUATU ISLANDS:  LUGANVILLE,-15.595,167.68,Earthquake
2007,9,2,7.2,SOLOMON ISLANDS,SOLOMON ISLANDS:  SANTA CRUZ ISLANDS,-11.61,165.762,Earthquake
2008,3,20,7.2,CHINA,CHINA:  XINJIANG PROVINCE,35.49,81.467,Earthquake
2009,2,11,7.2,INDONESIA,INDONESIA:  KEPULAUAN TALAUD,3.884,126.397,Earthquake
2010,4,4,7.2,MEXICO,MEXICO:  BAJA CALIFORNIA,32.297,-115.278,Earthquake
2010,5,9,7.2,INDONESIA,INDONESIA:  N. SUMATRA: SIMEULUE ISLAND,3.748,96.018,Earthquake
2010,8,10,7.2,VANUATU,VANUATU ISLANDS,-17.541,168.069,Earthquake
2011,1,18,7.2,PAKISTAN,"PAKISTAN: GARHI KHAIRO, QUETTA, BALOCHISTAN",28.777,63.951,Earthquake
2012,3,25,7.2,CHILE,"CHILE:  PARRAL, SANTIAGO",-35.2,-72.217,Earthquake
2012,12,7,7.2,JAPAN,JAPAN:  HONSHU:  MIYAGI PREFECTURE,37.89,143.949,Earthquake
2013,4,19,7.2,RUSSIA,RUSSIA:  KURIL ISLANDS,46.221,150.788,Earthquake
2014,4,18,7.2,MEXICO,MEXICO:  GUERRERO; MEXICO CITY,17.552,-100.816,Earthquake
2015,12,7,7.2,TAJIKISTAN,TAJIKISTAN,38.258,72.767,Earthquake
1902,8,21,7.3,PHILIPPINES,"PHILIPPINES:  MINDANAO:  LANAO, COTABATO",7.5,123.5,Earthquake
1907,3,29,7.3,INDONESIA,INDONESIA:  TALAUD ISLANDS:  KARAKELONG ISLAND,3,122,Earthquake
1909,4,14,7.3,TAIWAN,TAIWAN:  TAIPEI,25,121.5,Earthquake
1909,11,21,7.3,TAIWAN,TAIWAN,24.4,121.8,Earthquake
1910,12,13,7.3,ZAMBIA,ZAMBIA,-8,31,Earthquake
1911,9,15,7.3,CHILE,CHILE:  NORTHERN,-20,-72,Earthquake
1915,7,31,7.3,RUSSIA,RUSSIA:  OFF KAMCHATKA,53.5,163.3,Earthquake
1916,9,11,7.3,INDONESIA,INDONESIA,-9,113,Earthquake
1917,8,31,7.3,COLOMBIA,"COLOMBIA:  BOGOTA, UBAQUE, SOACHA, CAQUEZA",4,-74,Earthquake
1918,2,13,7.3,CHINA,CHINA:  GUANGDONG PROVINCE,23.5,117.2,Earthquake
1918,10,11,7.3,USA TERRITORY,PUERTO RICO:  MONA PASSAGE,18.5,-67.5,Earthquake
1923,3,24,7.3,CHINA,CHINA:  SICHUAN PROVINCE,31.5,101,Earthquake
1924,7,3,7.3,CHINA,CHINA: XINJIANG,36.8,83.8,Earthquake
1924,8,30,7.3,PHILIPPINES,"PHILIPPINES:  MINDANAO:  SURIGAO,BUTUAN",8.5,126.5,Earthquake
1925,11,13,7.3,PHILIPPINES,"PHILIPPINES:  SAMAR I,  LAOANG I, BATAG I",13,125,Earthquake
1927,3,7,7.3,JAPAN,JAPAN:  HONSHU:  SW,35.6,135.1,Earthquake
1927,7,1,7.3,GREECE,GREECE:  OETYLOS (LACONIA),36.75,22.75,Earthquake
1927,11,4,7.3,USA,CALIFORNIA:  S:  OFF COAST,34.813,-120.774,Earthquake
1928,5,14,7.3,PERU,"PERU:  CHACAHPOYAS,HUANCABAMBA,CAJAMARCA,PINPINCOS",-5,-78,Earthquake
1928,12,19,7.3,PHILIPPINES,"PHILIPPINES:  COTABATO,N COAST OF ILLANA BAY",7,124,Earthquake
1929,11,18,7.3,CANADA,CANADA:  GRAND BANKS,44.69,-56,Earthquake
1930,5,5,7.3,MYANMAR (BURMA),"MYANMAR (BURMA):  PEGU, RANGOON",17.3,96.5,Earthquake
1930,12,3,7.3,MYANMAR (BURMA),MYANMAR (BURMA):  PYU,18.2,96.4,Earthquake
1936,7,13,7.3,CHILE,CHILE:  TALTAL,-24.5,-70,Earthquake
1936,8,23,7.3,INDONESIA,"INDONESIA:  BANDA ACEH,LHOK SUKON,LHOKSEMAWE",6.1,94.7,Earthquake
1936,11,13,7.3,RUSSIA,RUSSIA:  NEAR KAMCHATKA,55.2,164,Earthquake
1940,10,4,7.3,CHILE,CHILE:  NORTHERN,-22,-71,Earthquake
1940,11,10,7.3,ROMANIA,ROMANIA,45.8,26.8,Earthquake
1942,12,20,7.3,TURKEY,"TURKEY:  NIKSAR, ERBAA",40.9,36.5,Earthquake
1946,6,23,7.3,CANADA,BRITISH COLUMBIA,49.87,-124.92,Earthquake
1946,11,10,7.3,PERU,"PERU: JOCAIBAMBA,CERRO ANGASCHAJ,CERRO SILLAPATA",-8.5,-77.5,Earthquake
1947,5,6,7.3,PAPUA NEW GUINEA,PAPUA NEW GUINEA:  NEW BRITAIN,-6.5,148.5,Earthquake
1947,11,1,7.3,PERU,"PERU:  SATIPO,ANDAMARCA,ACOBAMBA,LA MERCED,VICTOC",-10.5,-75,Earthquake
1948,5,25,7.3,CHINA,CHINA:  SICHUAN PROVINCE,29.5,100.5,Earthquake
1948,6,28,7.3,JAPAN,JAPAN:  FUKUI,36.5,136,Earthquake
1948,10,5,7.3,TURKMENISTAN,TURKMENISTAN:  ASHKHABAD,37.95,58.32,Earthquake
1949,2,23,7.3,CHINA,CHINA:  XINJIANG PROVINCE,42,84,Earthquake
1949,4,20,7.3,CHILE,"CHILE:  ANGOL, TRAIGUEN",-38,-73.5,Earthquake
1950,11,8,7.3,SOLOMON ISLANDS,SOLOMON ISLANDS:  SOLOMON SEA,-10,159.5,Earthquake
1951,10,22,7.3,TAIWAN,TAIWAN,23.8,121.7,Earthquake
1954,2,11,7.3,CHINA,CHINA:  GANSU PROVINCE,39,101.3,Earthquake
1955,5,17,7.3,INDIA,INDIA:  LITTLE NICOBAR ISLAND,6.5,94,Earthquake
1955,10,10,7.3,PAPUA NEW GUINEA,PAPUA NEW GUINEA:  BISMARCK SEA,-5,152.5,Earthquake
1956,1,16,7.3,ECUADOR,ECUADOR,-0.5,-80.5,Earthquake
1956,1,24,7.3,NICARAGUA,NICARAGUA:  PUERTO SAMOZA,12.2,-86.7,Earthquake
1957,6,22,7.3,INDONESIA,INDONESIA:  NEW GUINEA:  IRIAN JAYA,-1.5,137,Earthquake
1958,1,15,7.3,PERU,PERU: AREQUIPA,-16.5,-72,Earthquake
1959,8,17,7.3,SOLOMON ISLANDS,SOLOMON ISLANDS,-7.5,156,Earthquake
1961,2,26,7.3,JAPAN,JAPAN:  MIYAZAKI,31.6,131.8,Earthquake
1961,7,23,7.3,VANUATU,VANUATU ISLANDS,-18.421,168.411,Earthquake
1961,8,19,7.3,JAPAN,JAPAN:  HONSHU:  W COAST,36,136.7,Earthquake
1962,2,14,7.3,CHILE,CHILE:  CENTRAL,-37.8,-72.5,Earthquake
1963,2,13,7.3,TAIWAN,"TAIWAN:  TAIPEI, HSINCH",24.5,122.1,Earthquake
1965,3,14,7.3,AFGHANISTAN,AFGHANISTAN,36.3,70.7,Earthquake
1965,3,28,7.3,CHILE,CHILE:  CENTRAL,-32.4,-71.2,Earthquake
1965,8,13,7.3,VANUATU,VANUATU ISLANDS,-15.9,166.8,Earthquake
1967,7,22,7.3,TURKEY,"TURKEY:  MUDURNU, ADAPAZARI",40.7,30.8,Earthquake
1968,1,29,7.3,RUSSIA,RUSSIA:  S. KURIL ISLANDS,43.586,146.701,Earthquake
1968,7,25,7.3,KERMADEC ISLANDS (NEW ZEALAND),"KERMADEC ISLANDS:  S OF, RAOUL",-30.8,-178.4,Earthquake
1968,8,1,7.3,PHILIPPINES,PHILIPPINES:  LUZON:  MANILA,16.5,122.2,Earthquake
1968,8,31,7.3,IRAN,IRAN:  DASHT-E-BAYAZ,34,59,Earthquake
1969,11,22,7.3,RUSSIA,RUSSIA:  OFF KAMCHATKA,57.7,163.6,Earthquake
1970,4,7,7.3,PHILIPPINES,PHILIPPINES:  LUZON,15.78,121.71,Earthquake
1970,10,31,7.3,PAPUA NEW GUINEA,PAPUA NEW GUINEA:  MADANG,-4.907,145.471,Earthquake
1971,8,2,7.3,JAPAN,JAPAN TRENCH,41.4,143.5,Earthquake
1974,7,13,7.3,COLOMBIA,"COLOMBIA: BOGOTA, CALI, PEREIRA",7.75,-77.69,Earthquake
1976,5,29,7.3,CHINA,CHINA:  YUNNAN PROVINCE:  LUNGLING-LUSHI,24.57,98.953,Earthquake
1976,11,24,7.3,TURKEY,TURKEY:  MURADIYE,39.12,44.03,Earthquake
1976,11,30,7.3,CHILE,"CHILE:  POZO ALMONTE, OFICINA VICTORIA, ARICA",-20.52,-68.92,Earthquake
1977,3,18,7.3,PHILIPPINES,PHILIPPINES:  LUZON:  MANILA,16.77,122.33,Earthquake
1981,10,25,7.3,MEXICO,MEXICO:  MICHOACAN: LAZARO CARDENAS,18.048,-102.084,Earthquake
1983,4,3,7.3,COSTA RICA,"COSTA RICA:  SE, PANAMA: W",8.717,-83.123,Earthquake
1983,10,4,7.3,CHILE,CHILE:  NORTHERN:  COPOAPO-CHANARAL,-26.535,-70.563,Earthquake
1983,10,28,7.3,USA,"IDAHO:  BORAH PEAK, CHALLIS, MACKAY",43.974,-113.916,Earthquake
1987,3,5,7.3,CHILE,"CHILE:  ANTOFAGASTA, ARICA",-24.388,-70.161,Earthquake
1987,10,6,7.3,TONGA,TONGA ISLANDS,-17.94,-172.225,Earthquake
1988,11,6,7.3,CHINA,CHINA:  YUNNAN PROVINCE,22.789,99.611,Earthquake
1994,10,9,7.3,RUSSIA,RUSSIA:  KURIL ISLANDS,43.905,147.916,Earthquake
1996,6,10,7.3,USA,ALASKA:  ANDREANOF ISLANDS,51.478,-176.847,Earthquake
1999,12,11,7.3,PHILIPPINES,"PHILIPPINES:  S LUZON:  MANILA, SANTA CRUZ",15.766,119.74,Earthquake
2002,11,2,7.3,INDONESIA,INDONESIA:  SUMATERA:  SIMEULUE,2.824,96.085,Earthquake
2003,1,20,7.3,SOLOMON ISLANDS,"SOLOMON ISLANDS:  HONIARA, SAN CRISTOBAL",-10.491,160.77,Earthquake
2003,9,27,7.3,RUSSIA,"RUSSIA:  KOSH-AGACH, UST'-ULAGAN, ONGUDAI, SHEBALINO",50.038,87.813,Earthquake
2004,2,7,7.3,INDONESIA,INDONESIA:  NABIRE,-4.003,135.023,Earthquake
2008,4,9,7.3,NEW CALEDONIA,NEW CALEDONIA: LOYALTY ISLANDS,-20.071,168.892,Earthquake
2008,11,16,7.3,INDONESIA,INDONESIA:  MINAHASSA PENINSULA,1.271,122.091,Earthquake
2009,1,3,7.3,INDONESIA,PAPUA NEW GUINEA:  NEAR NORTH COAST,-0.691,133.305,Earthquake
2009,5,28,7.3,HONDURAS,HONDURAS:  NORTHERN; BELIZE,16.72,-86.236,Earthquake
2010,12,25,7.3,VANUATU,VANUATU ISLANDS,-19.702,167.947,Earthquake
2011,6,24,7.3,USA,ALASKA: ALEUTIAN ISLANDS: FOX ISLANDS,52.05,-171.836,Earthquake
2012,8,27,7.3,EL SALVADOR,EL SALVADOR:  OFF THE COAST,12.139,-88.59,Earthquake
2012,11,7,7.3,GUATEMALA,"GUATEMALA:  SAN MARCOS, SAN CRISTOBAL COCHU",13.988,-91.895,Earthquake
2015,5,12,7.3,NEPAL,NEPAL:   DOLAKHA,27.837,86.077,Earthquake
1900,1,20,7.4,MEXICO,MEXICO,20,-105,Earthquake
1907,4,18,7.4,PHILIPPINES,PHILIPPINES:  SE LUZON:  CAMARINES,13.5,123,Earthquake
1907,10,21,7.4,TAJIKISTAN,TAJIKISTAN:   KARATAG,38.5,67.9,Earthquake
1907,12,15,7.4,PAPUA NEW GUINEA,PAPUA NEW GUINEA:  BISMARCK SEA,-3.1,142.5,Earthquake
1910,2,12,7.4,JAPAN,JAPAN:  HONSHU:  S OF,33,138.5,Earthquake
1911,2,18,7.4,TAJIKISTAN,"TAJIKISTAN:  USOY, BARCHIDIV, POSOR, NISUR",38.2,72.8,Earthquake
1919,1,1,7.4,PHILIPPINES,PHILIPPINES:  MINDANAO ISLAND,8,126,Earthquake
1922,10,11,7.4,PERU,PERU:  CARAVELI,-16,-72.5,Earthquake
1929,5,1,7.4,IRAN,IRAN:  KOPET-DAGH,37.8,57.6,Earthquake
1931,8,27,7.4,PAKISTAN,"PAKISTAN:  MACH,BALUCHISTAN",29.8,67.3,Earthquake
1931,9,25,7.4,INDONESIA,SW. SUMATRA,-5,102.75,Earthquake
1932,5,14,7.4,INDONESIA,"INDONESIA:  SULAWESI:  KAKAS,LANGOWAN,POSO,TONDANO",0.5,126,Earthquake
1939,4,18,7.4,CHILE,CHILE:  NORTH CENTRAL,-27,-70.5,Earthquake
1940,7,14,7.4,USA,ALASKA:  ALEUTIAN ISLANDS:  RAT ISLANDS,52,178.2,Earthquake
1941,1,13,7.4,PAPUA NEW GUINEA,PAPUA NEW GUINEA:  BISMARCK SEA,-4.175,152.071,Earthquake
1941,11,18,7.4,JAPAN,JAPAN:  SHIKOKU,32,132.1,Earthquake
1943,9,10,7.4,JAPAN,JAPAN:  HONSHU:  S,35.3,133.9,Earthquake
1944,2,1,7.4,TURKEY,TURKEY,41.4,32.7,Earthquake
1949,7,10,7.4,TAJIKISTAN,TAJIKISTAN,39.2,70.8,Earthquake
1953,4,23,7.4,PAPUA NEW GUINEA,PAPUA NEW GUINEA:  SOLOMON ISLANDS,-4.449,152.868,Earthquake
1953,11,25,7.4,JAPAN,JAPAN:  KASHIMA,34,141.7,Earthquake
1953,12,7,7.4,CHILE,CHILE:  NORTHERN,-22.1,-68.7,Earthquake
1953,12,12,7.4,PERU,OFF COAST OF PERU,-3.4,-80.6,Earthquake
1954,3,21,7.4,MYANMAR (BURMA),"MYANMAR; INDIA:  CALCUTTA, CUTTACK, BHAGALPUR",24.5,95.3,Earthquake
1959,2,7,7.4,PERU,PERU-ECUADOR,-4,-81.5,Earthquake
1960,11,1,7.4,CHILE,CHILE:  CONCEPCION,-38.5,-75.1,Earthquake
1962,7,26,7.4,PANAMA,PANAMA,7.5,-82,Earthquake
1964,7,6,7.4,MEXICO,MEXICO:  GUERRERO,18.3,-100.4,Earthquake
1966,3,7,7.4,CHINA,CHINA:  HEBEI PROVINCE,37.35,114.92,Earthquake
1968,8,14,7.4,INDONESIA,"INDONESIA:  SULAWESI:  TAMBU,COAST OF MAPAGA",0.2,119.8,Earthquake
1969,2,23,7.4,INDONESIA,"INDONESIA:  SULAWESI:  PARASANGA, PALETOANG",-3.1,118.9,Earthquake
1969,7,18,7.4,CHINA,CHINA:  BOHAI SEA,38.2,119.4,Earthquake
1970,3,28,7.4,TURKEY,TURKEY:  GEDIZ,39.2,29.5,Earthquake
1972,12,2,7.4,PHILIPPINES,"PHILIPPINES:  MINDANAO, DAVAO",6.5,126.6,Earthquake
1972,12,4,7.4,JAPAN,"JAPAN:  S OF HONSHU, HACHIJOJIMA",33.3,140.7,Earthquake
1975,2,4,7.4,CHINA,"CHINA:  LIAONING PROVINCE:  YINGTAO, ANSHAN",40.64,122.58,Earthquake
1976,5,29,7.4,CHINA,CHINA:  YUNNAN PROVINCE:  LUNGLING-LUSHI,24.531,98.71,Earthquake
1976,7,28,7.4,CHINA,CHINA:  NE:  TANGSHAN,39.664,118.401,Earthquake
1977,11,23,7.4,ARGENTINA,ARGENTINA:  SAN JUAN PROVINCE:  MENDOZA,-31.03,-67.77,Earthquake
1978,7,23,7.4,TAIWAN,TAIWAN,22.282,121.512,Earthquake
1989,11,1,7.4,JAPAN,"JAPAN:  HONSHU: N, AOMORI, MISAWA",39.837,142.76,Earthquake
1992,10,18,7.4,COLOMBIA,"COLOMBIA:  MURINDO, APARTADO, MEDELLIN",7.075,-76.862,Earthquake
1995,4,7,7.4,SAMOA,SAMOA:  APIA; AMERICAN SAMOA:  PAGO PAGO; NIUE,-15.199,-173.529,Earthquake
1995,9,14,7.4,MEXICO,"MEXICO:  GUERRERO, OAXACA, PUEBLA, MEXICO CITY",16.779,-98.597,Earthquake
2002,3,3,7.4,AFGHANISTAN,"AFGHANISTAN:  HINDU KUSH:  SAMANGHAN, KABUL, RUSTAQ",36.502,70.482,Earthquake
2004,9,5,7.4,JAPAN,"JAPAN:  HONSHU:  W COAST: KYOTO, WAKAYAMA, SAKAI",33.184,137.071,Earthquake
2007,9,30,7.4,NEW ZEALAND,NEW ZEALAND:  AUCKLAND ISLANDS,-49.418,163.954,Earthquake
2007,11,29,7.4,MARTINIQUE,MARTINIQUE,14.944,-61.274,Earthquake
2008,2,20,7.4,INDONESIA,INDONESIA:  SUMATERA:  ACEH PROVINCE,2.768,95.964,Earthquake
2009,1,15,7.4,RUSSIA,RUSSIA:  KURIL ISLANDS,46.857,155.154,Earthquake
2010,12,21,7.4,JAPAN,JAPAN:  BONIN ISLANDS,26.901,143.698,Earthquake
2011,10,21,7.4,KERMADEC ISLANDS (NEW ZEALAND),KERMADEC ISLANDS,-28.993,-176.238,Earthquake
2012,3,20,7.4,MEXICO,"MEXICO:  GUERRERO, OAXACA",16.493,-98.231,Earthquake
2014,4,13,7.4,SOLOMON ISLANDS,SOLOMON ISLANDS,-11.451,162.069,Earthquake
1900,6,21,7.5,CUBA,CUBA,10,-85.5,Earthquake
1901,4,5,7.5,RUSSIA,RUSSIA:  KURIL ISLANDS,45,148,Earthquake
1902,4,19,7.5,GUATEMALA,"GUATEMALA:  QUEZALTENANGO, SAN MARCOS",14,-91,Earthquake
1904,4,4,7.5,BULGARIA,BULGARIA:  STRUMA,41.8,23.2,Earthquake
1904,8,8,7.5,NEW ZEALAND,NEW ZEALAND:  E OF NORTH ISLAND,-40.5,177,Earthquake
1905,3,18,7.5,KERMADEC ISLANDS (NEW ZEALAND),KERMADEC ISLANDS,-27.5,-173,Earthquake
1905,5,18,7.5,PAPUA NEW GUINEA,PAPUA NEW GUINEA:  BISMARCK SEA,-4,149,Earthquake
1905,9,1,7.5,JAPAN,JAPAN:  HOKKAIDO,45,143,Earthquake
1905,10,21,7.5,GEORGIA,GEORGIA:  CAUCASUS,42,42,Earthquake
1906,4,10,7.5,MEXICO,MEXICO:  REVILLA GIGEDO ISLANDS,19,-113.8,Earthquake
1908,2,6,7.5,INDONESIA,SW. SUMATRA,-2,100,Earthquake
1908,3,5,7.5,PHILIPPINES,PHILIPPINES:  MINDANAO,9,126,Earthquake
1908,3,27,7.5,MEXICO,MEXICO:  GUERRERO,17,-101,Earthquake
1908,5,5,7.5,INDONESIA,INDONESIA:  CELEBES SEA,3,123,Earthquake
1908,12,12,7.5,MYANMAR (BURMA),MYANMAR (BURMA):  KACHIN,26.5,97,Earthquake
1909,3,13,7.5,JAPAN,JAPAN:  YOKOHAMA,34.5,141.5,Earthquake
1910,1,1,7.5,HONDURAS,HONDURAS,17,-85,Earthquake
1910,5,22,7.5,JAPAN,JAPAN:  HOKKAIDO,42,145,Earthquake
1910,6,1,7.5,VANUATU,VANUATU ISLANDS,-20,169,Earthquake
1910,12,16,7.5,INDONESIA,INDONESIA:  TALAUD ISLANDS,4.5,126,Earthquake
1912,5,6,7.5,ICELAND,ICELAND,64,-20,Earthquake
1912,9,29,7.5,"MICRONESIA, FED. STATES OF","MICRONESIA, FED. STATES OF:  CAROLINE ISLANDS",7,138,Earthquake
1912,11,7,7.5,USA,ALASKA:  ALASKA PENINSULA,57.5,-155,Earthquake
1912,12,7,7.5,ARGENTINA,ARGENTINA:   SANTIAGO DEL ESTERO PROVINCE,-29,-62.5,Earthquake
1913,1,19,7.5,RUSSIA,RUSSIA:  KURIL ISLANDS,46,152,Earthquake
1913,5,30,7.5,PAPUA NEW GUINEA,PAPUA NEW GUINEA:  SOLOMON ISLANDS,-5,154,Earthquake
1913,11,10,7.5,VANUATU,VANUATU ISLANDS,-18,169,Earthquake
1914,3,30,7.5,MEXICO,MEXICO:  CHIAPAS,16.8,-92.2,Earthquake
1914,8,4,7.5,CHINA,CHINA:  XINJIANG WEIWUER ZIZHIQU PROVINCE(SINKIANG),43.5,91.5,Earthquake
1915,1,13,7.5,ITALY,"ITALY:  MARSICA, AVEZZANO, ABRUZZI",42,13.5,Earthquake
1916,2,27,7.5,NICARAGUA,NICARAGUA:  OFF COAST,11,-86,Earthquake
1916,4,18,7.5,USA,ALASKA:  ALEUTIAN ISLANDS:  FOX ISLANDS,53.3,-170,Earthquake
1916,6,21,7.5,ARGENTINA,ARGENTINA,-28.5,-63,Earthquake
1916,8,3,7.5,PAPUA NEW GUINEA,PAPUA NEW GUINEA:  N COAST,-4,144.5,Earthquake
1916,8,25,7.5,BOLIVIA,BOLIVIA-NORTHERN CHILE,-21,-68,Earthquake
1917,7,31,7.5,CHINA,CHINA:  JILIN PROVINCE,42.5,131,Earthquake
1917,11,16,7.5,KERMADEC ISLANDS (NEW ZEALAND),KERMADEC ISLANDS:  S OF,-29,-177.5,Earthquake
1918,2,7,7.5,PHILIPPINES,PHILIPPINES:  MINDANAO,6.5,126.5,Earthquake
1918,7,3,7.5,PAPUA NEW GUINEA,PAPUA NEW GUINEA:  N COAST,-3.5,142.5,Earthquake
1921,2,4,7.5,GUATEMALA,GUATEMALA,15,-91,Earthquake
1921,9,11,7.5,INDONESIA,INDONESIA:  S OF JAVA,-11,111,Earthquake
1921,11,11,7.5,PHILIPPINES,PHILIPPINES:  MINDANAO:  E,8,127,Earthquake
1922,1,19,7.5,PAPUA NEW GUINEA,PAPUA NEW GUINEA:  BISMARCK SEA,-7,143,Earthquake
1922,10,24,7.5,RUSSIA,RUSSIA:  KURIL ISLANDS,47,151.8,Earthquake
1922,12,6,7.5,AFGHANISTAN,AFGHANISTAN:  HINDU KUSH,36.5,70.5,Earthquake
1923,10,7,7.5,INDONESIA,INDONESIA:  DJAILOLO GILOLO,-1.75,128.75,Earthquake
1924,7,24,7.5,AUSTRALIA,AUSTRALIA:  MACQUARIE ISLAND:  NORTH OF,-49.5,159,Earthquake
1925,10,13,7.5,ATLANTIC OCEAN,NORTH ATLANTIC RIDGE,11,-42,Earthquake
1926,4,12,7.5,SOLOMON ISLANDS,SOLOMON ISLANDS,-10,161,Earthquake
1926,6,29,7.5,JAPAN,JAPAN:  RYUKYU ISLANDS,27,127,Earthquake
1927,12,28,7.5,RUSSIA,RUSSIA:  KAMCHATKA,55.663,160.039,Earthquake
1928,3,16,7.5,NEW CALEDONIA,NEW CALEDONIA:  LOYALTY ISLANDS,-22,170.5,Earthquake
1929,6,16,7.5,NEW ZEALAND,NEW ZEALAND:  SOUTH ISLAND,-41.75,172.25,Earthquake
1929,10,19,7.5,CHILE,CHILE,-23,-69,Earthquake
1930,5,6,7.5,IRAN,IRAN:  SALMAS,38.1,44.7,Earthquake
1931,11,2,7.5,JAPAN,JAPAN:  KYUSHU,32,131.5,Earthquake
1932,11,2,7.5,PACIFIC OCEAN,PACIFIC OCEAN:  N,-32,-131.5,Earthquake
1933,6,24,7.5,INDONESIA,INDONESIA:  S SUMATERA,-5.5,104.8,Earthquake
1933,8,25,7.5,CHINA,CHINA:  SICHUAN PROVINCE,31.9,103.4,Earthquake
1934,3,5,7.5,NEW ZEALAND,NEW ZEALAND:  NORTH ISLAND,-40.5,175.5,Earthquake
1935,5,30,7.5,PAKISTAN,PAKISTAN:  QUETTA,29.5,66.8,Earthquake
1937,1,7,7.5,CHINA,CHINA:  QINGHAI PROVINCE,35.5,97.6,Earthquake
1937,8,20,7.5,PHILIPPINES,PHILIPPINES:  LUZON,14.5,121.5,Earthquake
1937,12,23,7.5,MEXICO,MEXICO:  GUERRERO:  OMETEPEC,16.7,-98.5,Earthquake
1938,5,12,7.5,PAPUA NEW GUINEA,PAPUA NEW GUINEA,-6,147.8,Earthquake
1938,11,6,7.5,JAPAN,JAPAN:  OFF EAST COAST HONSHU,37.5,142.2,Earthquake
1940,8,1,7.5,JAPAN,JAPAN:  W. HOKKAIDO ISLAND,44.2,139.5,Earthquake
1942,5,28,7.5,INDONESIA,INDONESIA:  MINAHASSA PENINSULA,       ,124,Earthquake
1943,2,22,7.5,MEXICO,MEXICO:  GUERRERO: PARICUTIN VOLCANO FORMS,16.7,-101.5,Earthquake
1943,9,14,7.5,NEW CALEDONIA,NEW CALEDONIA:  LOYALTY ISLANDS,-22,171,Earthquake
1944,3,22,7.5,INDONESIA,INDONESIA:  FLORES,-8.5,123.5,Earthquake
1944,5,25,7.5,PAPUA NEW GUINEA,PAPUA NEW GUINEA:  NEW IRELAND,-2.5,152.8,Earthquake
1944,10,5,7.5,NEW CALEDONIA,NEW CALEDONIA:  LOYALTY ISLANDS,-22.5,172,Earthquake
1944,11,24,7.5,VANUATU,VANUATU ISLANDS,-19,169,Earthquake
1946,8,8,7.5,DOMINICAN REPUBLIC,DOMINICAN REPUBLIC:  NORTHEASTERN COAST,19.5,-69.5,Earthquake
1946,9,12,7.5,MYANMAR (BURMA),MYANMAR (BURMA),23.9,96.2,Earthquake
1946,11,4,7.5,TURKMENISTAN,TURKMENISTAN,39.3,55.4,Earthquake
1948,5,14,7.5,USA,ALASKA:  ALASKA PENINSULA,54.5,-161,Earthquake
1949,3,4,7.5,AFGHANISTAN,"AFGHANISTAN:  HINDU-KUSH, WEST PUNJAB",36,70.5,Earthquake
1949,8,6,7.5,TONGA,TONGA ISLANDS,-18.5,-174.5,Earthquake
1949,10,19,7.5,PAPUA NEW GUINEA,PAPUA NEW GUINEA:  BISMARCK SEA,-5.5,154,Earthquake
1950,10,23,7.5,GUATEMALA,GUATEMALA:  SAN MARCOS,14.31,-91.917,Earthquake
1950,12,14,7.5,MEXICO,MEXICO:  ACAPULCO,16.48,-98.22,Earthquake
1951,11,18,7.5,CHINA,CHINA:  TIBET (XIZANG PROVINCE),31.1,91.4,Earthquake
1951,11,24,7.5,TAIWAN,TAIWAN,22.9,121.5,Earthquake
1952,2,26,7.5,PERU,PERU-BOLIVIA,-14.1,-69.9,Earthquake
1953,3,18,7.5,TURKEY,"TURKEY:  YENICE, ONON",40,27.5,Earthquake
1953,7,2,7.5,VANUATU,VANUATU ISLANDS,-19,169,Earthquake
1953,11,4,7.5,SOLOMON ISLANDS,SOLOMON ISLANDS,-13.189,166.516,Earthquake
1954,4,29,7.5,ATLANTIC OCEAN,ATLANTIC OCEAN:  NORTHERN,29.5,-29.5,Earthquake
1955,4,14,7.5,CHINA,CHINA:  SICHUAN PROVINCE,30,101.8,Earthquake
1956,5,23,7.5,FIJI,FIJI ISLANDS,-15,-179,Earthquake
1956,7,18,7.5,INDONESIA,INDONESIA:  BANDA SEA,-5.5,130,Earthquake
1957,3,22,7.5,USA,ALASKA:  ALEUTIAN ISLANDS:  FOX ISLANDS,55,-165.2,Earthquake
1957,4,14,7.5,SAMOA,SAMOA ISLANDS,-15.5,-173,Earthquake
